"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","4","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","5","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/AnagramChecker.java","3","6","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/EmailMasker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","4","14","Useless parentheses around `currentYear / 100`.","Code Style","UselessParentheses"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","17","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","3","36","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/PersonnummerValidator.java","4","41","Useless parentheses around `sum % 10 == 0`.","Code Style","UselessParentheses"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","11","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/ShoppingCartPriceCalculator.java","3","12","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun1/TextCleaner.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","4","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","5","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/AnagramChecker.java","3","13","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/EmailMasker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","4","4","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","7","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PasswordValidator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","4","8","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","4","16","Useless parentheses around `currentYr / 100`.","Code Style","UselessParentheses"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","18","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","19","This statement should have braces","Code Style","ControlStatementBraces"
"8","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","23","This statement should have braces","Code Style","ControlStatementBraces"
"9","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","29","This statement should have braces","Code Style","ControlStatementBraces"
"10","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","30","This statement should have braces","Code Style","ControlStatementBraces"
"11","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/PersonnummerValidator.java","3","36","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/ShoppingCartPriceCalculator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/ShoppingCartPriceCalculator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/ShoppingCartPriceCalculator.java","3","12","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/ShoppingCartPriceCalculator.java","3","13","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun10/TextCleaner.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","4","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","5","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","9","This statement should have braces","Code Style","ControlStatementBraces"
"8","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"9","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/AnagramChecker.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/EmailMasker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PasswordValidator.java","4","4","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PasswordValidator.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PasswordValidator.java","3","7","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PasswordValidator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","4","8","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","4","16","Useless parentheses around `currentYear / 100`.","Code Style","UselessParentheses"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","18","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","19","This statement should have braces","Code Style","ControlStatementBraces"
"8","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","24","This statement should have braces","Code Style","ControlStatementBraces"
"9","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","30","This statement should have braces","Code Style","ControlStatementBraces"
"10","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","31","This statement should have braces","Code Style","ControlStatementBraces"
"11","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","37","This statement should have braces","Code Style","ControlStatementBraces"
"12","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/PersonnummerValidator.java","3","38","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/ShoppingCartPriceCalculator.java","3","4","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/ShoppingCartPriceCalculator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/TextCleaner.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun2/TextCleaner.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/AnagramChecker.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/AnagramChecker.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/AnagramChecker.java","3","7","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/AnagramChecker.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/AnagramChecker.java","3","10","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/AnagramChecker.java","3","11","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/EmailMasker.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/EmailMasker.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/PasswordValidator.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/PasswordValidator.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/ShoppingCartPriceCalculator.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/ShoppingCartPriceCalculator.java","3","8","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/TextCleaner.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun3/TextCleaner.java","3","4","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/AnagramChecker.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/AnagramChecker.java","3","4","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/EmailMasker.java","3","3","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/EmailMasker.java","3","6","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PasswordValidator.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PasswordValidator.java","3","7","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PersonnummerValidator.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PersonnummerValidator.java","3","4","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PersonnummerValidator.java","3","7","This statement should have braces","Code Style","ControlStatementBraces"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PersonnummerValidator.java","4","9","Use one line for each declaration, it enhances code readability.","Best Practices","OneDeclarationPerLine"
"5","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PersonnummerValidator.java","3","22","This statement should have braces","Code Style","ControlStatementBraces"
"6","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PersonnummerValidator.java","3","33","This statement should have braces","Code Style","ControlStatementBraces"
"7","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/PersonnummerValidator.java","3","34","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/ShoppingCartPriceCalculator.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/ShoppingCartPriceCalculator.java","3","5","This statement should have braces","Code Style","ControlStatementBraces"
"3","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/ShoppingCartPriceCalculator.java","3","7","This for loop can be replaced by a foreach loop","Best Practices","ForLoopCanBeForeach"
"4","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/ShoppingCartPriceCalculator.java","3","10","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/TextCleaner.java","3","1","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun4/TextCleaner.java","3","3","This statement should have braces","Code Style","ControlStatementBraces"
"1","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun5/AnagramChecker.java","3","2","All classes, interfaces, enums and annotations must belong to a named package","Code Style","NoPackage"
"2","","/Users/alashiriadam/supplementaryartifactsactual/AISolutions/GeminiRun5/AnagramChecker.java","3","4","This statement should have braces","Code Style","ControlStatementBraces"
